Method Name,CCM,CND,CDISP,CINT,FDP,HD,HEF,HER,HL,HVC,HVL,LOC,LAA,LND,MMI,MND,CC,NOAV,NOL,NOPM
com.example.Application.main(String[]),0,0,1,1,0,2.5,38.7744,0.0038,6,6,15.5098,3,0,0,81.3571,0,1,1,0,1
com.example.EmailService.EmailService(JavaMailSender),0,0,0,0,0,1,8,0.0013,4,4,8,3,1,0,83.2686,0,1,2,0,1
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
com.example.base.ui.EmailView.EmailView(),1,0,0.9167,12,1,15.3,3978,0.0837,52,32,260,23,0.5,0,53.2924,2,2,6,0,0
com.example.base.ui.ExportView.ExportView(),0,0,1,4,0,3,216,0.012,18,16,72,15,0,0,61.3397,1,1,3,0,0
com.example.base.ui.MainErrorHandler.errorHandlerInitializer(),0,0,0.7692,13,4,11.5909,1783.0916,0.049,32,28,153.8354,15,0.2,0,59.0475,2,1,8,0,0
com.example.base.ui.MainLayout.MainLayout(),0,0,0.25,2,1,3,58.9545,0.005,7,7,19.6515,4,0,0,77.9128,0,1,1,0,0
com.example.base.ui.MainLayout.createHeader(),0,0,1,2,9,3.6923,423.4857,0.0188,27,19,114.694,9,0,0,64.7817,0,1,12,0,0
com.example.base.ui.MainLayout.createSideNav(),0,0,0.8333,5,2,7.5,630,0.0245,21,16,84,10,0,0,64.7122,0,1,4,0,0
com.example.base.ui.MainLayout.createSideNavItem(MenuEntry),2,1,0.3333,3,1,15.75,1198.6931,0.0376,22,11,76.1075,7,0,0,68.3023,1,2,1,0,1
,,,,,,,,,,,,,,,,,,,,
com.example.base.ui.component.ViewToolbar.group(Component[]),0,0,1,1,6,3.375,192.7473,0.0111,15,14,57.1103,6,0,0,70.7308,0,1,8,0,1
com.example.examplefeature.Task.Task(),0,0,0,0,0,0,0,0,1,1,0,2,0,0,∞,0,1,0,0,0
,,,,,,,,,,,,,,,,,,,,
com.example.examplefeature.Task.equals(Object),4,1,0.75,3,0,12.6,1605.7166,0.0457,30,19,127.4378,11,1,0,62.3358,1,5,2,0,1
com.example.examplefeature.Task.getCreationDate(),0,0,0,0,0,1,4.7549,0.0009,3,3,4.7549,3,1,0,85.3765,0,1,1,0,0
com.example.examplefeature.Task.getDescription(),0,0,0,0,0,1,4.7549,0.0009,3,3,4.7549,3,1,0,85.3765,0,1,1,0,0
com.example.examplefeature.Task.getDueDate(),0,0,0,0,0,1,4.7549,0.0009,3,3,4.7549,3,1,0,85.3765,0,1,1,0,0
com.example.examplefeature.Task.getId(),0,0,0,0,0,1,4.7549,0.0009,3,3,4.7549,3,1,0,85.3765,0,1,1,0,0
com.example.examplefeature.Task.hashCode(),0,0,0.5,2,0,0,0,0,5,5,11.6096,8,0,0,73.0082,0,1,0,0,0
com.example.examplefeature.Task.setDescription(String),1,1,1,1,0,6.75,374.6695,0.0173,15,13,55.5066,6,1,0,70.7462,1,2,3,0,1
com.example.examplefeature.Task.setDueDate(LocalDate),0,0,0,0,0,1.5,17.4145,0.0022,5,5,11.6096,3,1,0,82.3002,0,1,2,0,1
com.example.examplefeature.TaskRepository.findAllBy(Pageable),0,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,0,0,N/A,1,N/A,0,1
com.example.examplefeature.TaskService.TaskService(TaskRepository),0,0,0,0,0,0.5,2.3774,0.0006,3,3,4.7549,3,1,0,85.3765,0,1,2,0,1
,,,,,,,,,,,,,,,,,,,,
com.example.examplefeature.TaskService.list(Pageable),0,0,1,2,0,2,39.303,0.0039,7,7,19.6515,4,1,0,77.9128,0,1,2,0,1
com.example.examplefeature.ui.TaskListView.TaskListView(TaskService),0,0,0.6897,28,8,27.4286,15229.6516,0.2048,94,60,555.2477,28,0.3333,0,49.2162,0,1,19,0,1
com.example.examplefeature.ui.TaskListView.createTask(),0,0,1,8,2,6.25,547.3027,0.0223,21,18,87.5684,8,0.6667,0,66.7195,0,1,6,0,0
